;Título;Subtítulo;Link
58;Uber vai encerrar programa de fidelidade Rewards;Usuários poderão acumular pontos até o final de agosto e trocá-los até o final de outubro. Produto será encerrado três anos após lançamento no Brasil.;https://g1.globo.com/tecnologia/noticia/2022/08/15/uber-vai-encerrar-programa-de-fidelidade-rewards.ghtml
59;'Me sinto na obrigação de ler', diz escritora que teve Kindle invadido por formigas que 'compram' livros;Insetos entraram pelo buraco do carregador do aparelho da escritora Mariana Vieira, moradora de Brasília. Ela conta que está curiosa para ler livros 'comprados' pelas formigas.;https://g1.globo.com/df/distrito-federal/noticia/2022/08/13/formigas-invadem-kindle-de-escritora-do-df-e-compram-livros-me-sinto-na-obrigacao-de-ler.ghtml
60;Esconder o 'online', saída silenciosa dos grupos e mais: veja as últimas atualizações do Whatsapp;Semana teve anúncio de quatro novos recursos para aumentar a privacidade de plataforma, entre eles alguns que eram aguardados há anos pelos usuários. ;https://g1.globo.com/tecnologia/noticia/2022/08/13/esconder-o-online-saida-silenciosa-dos-grupos-e-mais-veja-as-ultimas-atualizacoes-do-whatsapp.ghtml
61;'Me olham com estranheza': brasileiros contam como é ter um chip implantado na mão ;'Ciborgues' ouvidos pelo g1 contam que usaram implante para substituir crachás, proteger computador e realizar performance artística, e que implante costuma gerar surpresa nas outras pessoas.;https://g1.globo.com/inovacao/noticia/2022/08/13/me-olham-com-estranheza-brasileiros-contam-como-e-ter-um-chip-implantado-na-mao.ghtml
62;Tatá Werneck diz ser vítima de ameaça e tentativa de extorsão após hacker acessar 'conversas íntimas';Em postagem em uma rede social, apresentadora afirma já ter realizado um boletim de ocorrência. ;https://g1.globo.com/economia/tecnologia/noticia/2022/08/13/tata-werneck-diz-ser-vitima-de-ameaca-e-tentativa-de-extorsao-apos-hacker-acessar-conversas-intimas.ghtml
63;Europa tem interesse em SpaceX para substituir foguetes russos;A Agência Espacial Europeia (ESA) iniciou conversas com a empresa de Elon Musk para uso temporário de lançadores da SpaceX. ;https://g1.globo.com/tecnologia/noticia/2022/08/12/europa-tem-interesse-em-spacex-para-substituir-foguetes-russos.ghtml
64;"Curitiba, Goiânia e Salvador terão 5G a partir de terça, diz Anatel; Rio, Vitória, Florianópolis e Palmas, até setembro";Em outras 15 capitais, prazo será prorrogado por 60 dias e operadoras terão até 27 de novembro para dar início ao serviço.;https://g1.globo.com/politica/noticia/2022/08/12/curitiba-goiania-e-salvador-terao-5g-a-partir-de-terca-diz-anatel-rio-vitoria-florianopolis-e-palmas-ate-setembro.ghtml
65;Coreia do Sul concede indulto ao chefe da Samsung para ajudar a 'superar a crise econômica';"O bilionário Lee Jae-yong, condenado por suborno e peculato em janeiro de 2021, será ""reintegrado"" para receber a chance de ""contribuir para superar a crise econômica da Coreia do Sul"", disse o ministro da Justiça, Han Dong-yong. ";https://g1.globo.com/tecnologia/noticia/2022/08/12/coreia-do-sul-concede-indulto-ao-chefe-da-samsung-para-ajudar-a-superar-a-crise-economica.ghtml
66;Casos de crianças manipuladas para produzir pornografia crescem 65%, diz relatório internacional;Estudo produzido pela IWF revelou crescimento maior no grupo entre 7 a 10 anos de idade. Imagens são produzidas em webcams e celulares, para depois serem compartilhada em sites criminosos.;https://g1.globo.com/tecnologia/noticia/2022/08/12/casos-de-criancas-manipuladas-para-produzir-pornografia-crescem-65percent-diz-relatorio-internacional.ghtml
67;Xiaomi apresenta robô humanoide que reconhece tristeza e 'consola' ;Batizado de CyberOne, primeiro robô humanoide da empresa chinesa pode reconhecer mais de 80 sons e 45 emoções.;https://g1.globo.com/inovacao/noticia/2022/08/12/xiaomi-apresenta-robo-humanoide-que-reconhece-tristeza-e-consola.ghtml
68;Cobertura total do 5G nas capitais deve demorar mais dois anos, diz conselheiro da Anatel;Faixa principal da tecnologia precisa de estrutura completamente nova e filtragem da interferência entre sinais. Manaus e Belém devem ser as capitais com mais dificuldades.;https://g1.globo.com/tecnologia/noticia/2022/08/12/cobertura-total-do-5g-nas-capitais-deve-demorar-mais-dois-anos-diz-conselheiro-da-anatel.ghtml
69;Xiaomi apresenta robô humanoide que identifica sons e emoções;Batizado de CyberOne, primeiro robô humanoide da Xiaomi pode reconhecer mais de 80 sons e 45 emoções.;https://g1.globo.com/economia/tecnologia/video/xiaomi-apresenta-robo-humanoide-que-identifica-sons-e-emocoes-10840919.ghtml
70;Chatbot da Meta diz que Mark Zuckerberg 'explora as pessoas pelo seu dinheiro';Novo protótipo foi lançado na semana passada e, de acordo com a empresa, pode conversar sobre 'praticamente qualquer assunto'.;https://g1.globo.com/tecnologia/noticia/2022/08/11/chatbot-da-meta-diz-que-mark-zuckerberg-explora-as-pessoas-pelo-seu-dinheiro.ghtml
71;Uber Reserve, recurso que permite agendar viagens, chega a São Paulo   ;Serviço já estava disponível em Curitiba, Porto Alegre e Brasília, e permite marcar corridas com até 30 dias de antecedência.;https://g1.globo.com/tecnologia/noticia/2022/08/11/uber-reserve-recurso-que-permite-agendar-viagens-chega-a-sao-paulo.ghtml
72;Google vai avisar quando não tem muitas informações confiáveis na busca ;Alerta já está disponível no Brasil e será exibido principalmente em pesquisas sobre notícias de última hora, quando há pouco conteúdo de qualidade. Buscador também mostrará mais contexto sobre sites que são exibidos para os usuários.;https://g1.globo.com/tecnologia/noticia/2022/08/11/google-vai-avisar-quando-nao-tem-muitas-informacoes-confiaveis-na-busca.ghtml
73;Veja quais são os piores e melhores emojis para usar no trabalho;Pesquisa das empresas Slack e Duolingo a partir de entrevistas com 9.400 trabalhadores de três continentes analisou o peso dos símbolos nas trocas de mensagens.;https://g1.globo.com/economia/tecnologia/video/veja-quais-sao-os-piores-e-melhores-emojis-para-usar-no-trabalho-10838076.ghtml
74;"Samsung lança nova geração de celulares dobráveis; veja as novidades";"Galaxy Z Flip 4 e Z Fold 4 foram oficializados com design refinado e processador poderoso; Samsung também lançou Galaxy Watch 5, Watch 5 Pro e fone Buds 2 Pro.";https://g1.globo.com/tecnologia/noticia/2022/08/10/samsung-lanca-nova-geracao-de-celulares-dobraveis-veja-as-novidades.ghtml
75;YouTube tira do ar gravação de evento com embaixadores em que Bolsonaro fez ataques às urnas ;Plataforma diz que política de integridade eleitoral proíbe divulgar informações falsas sobre o tema. Sem provas, Bolsonaro fez reunião no Alvorada para repetir suspeitas já desmentidas.;https://g1.globo.com/politica/noticia/2022/08/10/youtube-tira-do-ar-gravacao-de-evento-com-embaixadores-em-que-bolsonaro-fez-ataques-as-urnas.ghtml
76;"Apple aumenta preços do iPhone no Brasil; veja os novos valores";A nova tabela afeta também tablets e dos computadores.;https://g1.globo.com/tecnologia/noticia/2022/08/10/apple-aumenta-precos-do-iphone-no-brasil-veja-os-novos-valores.ghtml
77;Veja os piores emojis para usar no trabalho, segundo pesquisa, e o que eles significam;Estudo das empresas Slack e Duolingo a partir de entrevista com 9.400 trabalhadores de três continentes analisou o peso dos símbolos nas trocas de mensagens.;https://g1.globo.com/tecnologia/noticia/2022/08/10/veja-os-piores-emojis-para-usar-no-trabalho-segundo-pesquisa-e-o-que-eles-significam.ghtml
78;Google Tradutor: 3 truques para tirar máximo proveito da ferramenta;Tradutor do Google avançou bastante em diversos idiomas — e não se limita a apenas textos.;https://g1.globo.com/tecnologia/noticia/2022/08/10/google-tradutor-3-truques-para-tirar-maximo-proveito-da-ferramenta.ghtml
